motif,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
CG3919  -  (M4860-1.02),-0.010930501,0.010930501,0.03984548,0.05050058
opa  -  (M2259-1.02),0.010894649,0.010894649,0.25391656,0.34953687
Kr  -  (M5060-1.02),-0.010793331,0.010793331,0.048187256,0.05393277
CG7386  -  (M4878-1.02),-0.010727939,0.010727939,0.08191072,0.09526195
CG7745  -  (M4879-1.02),-0.010719881,0.010719881,0.034148205,0.061243914
Hr83  -  (M5037-1.02),-0.01051661,0.01051661,0.09363435,0.108963765
Usf  -  (M5263-1.02),0.010458744,0.010458744,0.06774409,0.0937405
FBgn0054031  -  (M1104-1.02),-0.010440159,0.010440159,0.15078254,0.19010836
usp  -  (M1850-1.02),0.010420267,0.010420267,0.048403505,0.06432046
(CG6905)_(Homo_sapiens)_(DBD_0.97)  -  (M6166-1.02),-0.010161627,0.010161627,0.07835564,0.09113216
sob  -  (M5203-1.02),-0.010084269,0.010084269,0.10866363,0.18445833
byn  -  (M4787-1.02),-0.0100062005,0.0100062005,0.019227585,0.034094863
Poxm  -  (M5158-1.02),0.009927653,0.009927653,0.034557275,0.0559805
CG3407  -  (M4857-1.02),0.009917915,0.009917915,0.13815536,0.15259705
lmd  -  (M5079-1.02),-0.009899841,0.009899841,0.15634961,0.25237033
amos  -  (M4735-1.02),-0.009812213,0.009812213,0.10152093,0.12653068
Dll  -  (M1088-1.02),0.00979335,0.00979335,0.035389256,0.05303023
(NFAT)_(Gallus_gallus)_(DBD_0.58)  -  (M1519-1.02),0.009733734,0.009733734,0.035751462,0.040391386
disco-r  -  (M4913-1.02),-0.009616331,0.009616331,0.28416047,0.30358198
PHDP  -  (M5149-1.02),0.009560577,0.009560577,0.04547992,0.062390275
CG7368  -  (M4876-1.02),0.009486362,0.009486362,0.08300355,0.15279678
Su(H)  -  (M1912-1.02),0.009290471,0.009290471,0.025947554,0.036621056
Deaf1  -  (M4904-1.02),0.0089004915,0.0089004915,0.02524828,0.051018536
jim  -  (M5048-1.02),0.00889353,0.00889353,0.02103849,0.031990845
ato  -  (M4750-1.02),0.008710345,0.008710345,0.069820754,0.110187255
(Sox21a)_(Mus_musculus)_(DBD_0.93)  -  (M1960-1.02),-0.008654453,0.008654453,0.040329754,0.06067295
Xrp1  -  (M0135-1.02),0.0086098295,0.0086098295,0.18626037,0.21493015
Hr51  -  (M5035-1.02),-0.008539659,0.008539659,0.1408623,0.19431117
bin  -  (M4765-1.02),-0.00852653,0.00852653,0.036370583,0.04350079
(CG7786)_(Homo_sapiens)_(DBD_0.56)  -  (M6186-1.02),0.00850765,0.00850765,0.042939663,0.052681733
fkh  -  (M4673-1.02),-0.008439888,0.008439888,0.09683,0.11335449
(Tbp)_(Homo_sapiens)_(DBD_0.90)  -  (M4708-1.02),-0.008354384,0.008354384,0.0643837,0.08038487
crol  -  (M4898-1.02),0.008297384,0.008297384,0.047740452,0.06712996
CG7056  -  (M1992-1.02),-0.0081096385,0.0081096385,0.076238014,0.09585349
peb  -  (M5147-1.02),-0.008042696,0.008042696,0.029964106,0.037055973
(bs)_(Homo_sapiens)_(DBD_0.96)  -  (M4633-1.02),-0.008021046,0.008021046,0.07809589,0.09887783
Mnt  -  (M5101-1.02),-0.008013641,0.008013641,0.025141649,0.03509223
kni  -  (M4677-1.02),0.008004353,0.008004353,0.02913273,0.045187417
exex  -  (M4962-1.02),-0.0077400557,0.0077400557,0.27393323,0.30760673
sv  -  (M5222-1.02),0.0077130455,0.0077130455,0.092464425,0.102901794
HLHmdelta  -  (M5024-1.02),-0.0075029507,0.0075029507,0.026196484,0.035982948
Eip75B  -  (M4937-1.02),0.0074450443,0.0074450443,0.022764085,0.027097357
Met  -  (M5104-1.02),0.0074237846,0.0074237846,0.045140892,0.05186369
ftz-f1  -  (M1470-1.02),0.0073471046,0.0073471046,0.04833999,0.054149434
vvl  -  (M2061-1.02),0.007331435,0.007331435,0.25439152,0.29759753
vri  -  (M5272-1.02),0.007179699,0.007179699,0.02512993,0.03306838
CG11071  -  (M4803-1.02),0.007151807,0.007151807,0.081320725,0.101913914
dsf  -  (M4926-1.02),-0.0070897453,0.0070897453,0.029905463,0.039484356
CG8319  -  (M4883-1.02),0.0070249056,0.0070249056,0.047350597,0.07126634
FBpp0073832  -  (M1242-1.02),0.0069883433,0.0069883433,0.025202205,0.038777348
esg  -  (M4948-1.02),-0.006968612,0.006968612,0.033993624,0.039029904
(Hr38)_(Homo_sapiens)_(DBD_0.90)  -  (M6394-1.02),-0.00695264,0.00695264,0.04973644,0.06454439
Antp  -  (M1975-1.02),-0.006928777,0.006928777,0.0416286,0.07479819
Trl  -  (M5247-1.02),0.006800441,0.006800441,0.031103877,0.035313167
CG15601  -  (M4826-1.02),-0.006775628,0.006775628,0.051133838,0.0639103
Mio  -  (M5107-1.02),-0.006728901,0.006728901,0.13643532,0.16643977
CG10267  -  (M4800-1.02),0.006550266,0.006550266,0.07153166,0.09263081
C15  -  (M4788-1.02),-0.0065279254,0.0065279254,0.05314573,0.060940433
CTCF  -  (M4670-1.02),-0.0064168605,0.0064168605,0.088213965,0.10927891
CG4404  -  (M4866-1.02),0.006411453,0.006411453,0.05682372,0.06907598
(mor)_(Homo_sapiens)_(DBD_0.89)  -  (M4526-1.02),-0.0063824295,0.0063824295,0.041978803,0.04518782
Doc2  -  (M4921-1.02),-0.00633258,0.00633258,0.045375675,0.06611149
CG7928  -  (M4880-1.02),0.0062978715,0.0062978715,0.022921948,0.031408083
pfk  -  (M5148-1.02),0.006274699,0.006274699,0.056305815,0.06909657
Eip74EF  -  (M1858-1.02),-0.006225398,0.006225398,0.039672464,0.057481155
(CG9727)_(Mus_musculus)_(DBD_0.51)  -  (M1529-1.02),-0.0062079555,0.0062079555,0.027525483,0.036256127
Eip78C  -  (M4938-1.02),-0.0061982,0.0061982,0.09848032,0.10883798
vfl  -  (M5265-1.02),-0.0061682793,0.0061682793,0.04014519,0.04892436
Clk  -  (M4893-1.02),0.006114535,0.006114535,0.04075553,0.052490495
(croc)_(Homo_sapiens)_(DBD_0.92)  -  (M6235-1.02),0.0059465505,0.0059465505,0.025374709,0.029197887
ovo  -  (M1946-1.02),0.0058913925,0.0058913925,0.023673397,0.035403226
(CrebB-17A)_(Mus_musculus)_(DBD_0.79)  -  (M0319-1.02),0.005853085,0.005853085,0.014561325,0.026965078
CG9437  -  (M4886-1.02),-0.005836773,0.005836773,0.020750165,0.02991705
foxo  -  (M4973-1.02),0.0056823855,0.0056823855,0.025597483,0.0291784
br  -  (M4771-1.02),-0.005651421,0.005651421,0.051816728,0.07378492
(Pdp1)_(Homo_sapiens)_(DBD_0.68)  -  (M6277-1.02),0.005632862,0.005632862,0.05355861,0.06935512
Jra  -  (M5050-1.02),-0.0055205435,0.0055205435,0.042181887,0.050270773
caup  -  (M2026-1.02),0.005472628,0.005472628,0.035975274,0.046223573
twi  -  (M5256-1.02),-0.0054530217,0.0054530217,0.095897876,0.11304836
FBgn0263118  -  (M4906-1.02),-0.0054363823,0.0054363823,0.032548487,0.041798096
cwo  -  (M4900-1.02),0.0053036017,0.0053036017,0.11276283,0.12787816
ind  -  (M5043-1.02),0.0053008622,0.0053008622,0.014586487,0.02018397
gcm2  -  (M0817-1.02),0.0052625635,0.0052625635,0.024717469,0.03126649
SU(HW)  -  (M2328-1.02),-0.0052469536,0.0052469536,0.04838223,0.06594142
tll  -  (M1471-1.02),-0.005208863,0.005208863,0.05482783,0.07771606
FBgn0263240  -  (M4829-1.02),-0.0051533217,0.0051533217,0.04786131,0.057552077
CG8765  -  (M4885-1.02),0.005116573,0.005116573,0.019007655,0.027643554
Hr4  -  (M5034-1.02),0.0050787004,0.0050787004,0.04104845,0.04765943
eg  -  (M4934-1.02),0.0050642467,0.0050642467,0.24283387,0.28904176
CG10904  -  (M4802-1.02),0.004998047,0.004998047,0.05030899,0.06143003
Ptx1  -  (M1099-1.02),0.004842133,0.004842133,0.03755577,0.04188232
z  -  (M5283-1.02),0.004668053,0.004668053,0.023201471,0.028869547
CG33557  -  (M4850-1.02),-0.0046220133,0.0046220133,0.046856154,0.059305303
srp  -  (M5213-1.02),0.004603679,0.004603679,0.09149649,0.10863954
brk  -  (M4770-1.02),-0.0045872736,0.0045872736,0.098320015,0.110838875
sens-2  -  (M5186-1.02),-0.0045573832,0.0045573832,0.03407079,0.045147285
Vsx2  -  (M1103-1.02),-0.004538581,0.004538581,0.059701946,0.06835975
Awh  -  (M1097-1.02),-0.004477603,0.004477603,0.025762387,0.03666499
HLH54F  -  (M5018-1.02),-0.0044679996,0.0044679996,0.1181725,0.16010816
FBgn0261705  -  (M4889-1.02),0.0044214698,0.0044214698,0.014999574,0.030936757
pnr  -  (M4674-1.02),0.0043834294,0.0043834294,0.05258312,0.07003486
CG42234  -  (M1106-1.02),0.0043736356,0.0043736356,0.008746877,0.013847675
GATAe  -  (M4983-1.02),0.0043678205,0.0043678205,0.08365621,0.0920715
repo  -  (M5164-1.02),0.0043361853,0.0043361853,0.06253045,0.068272494
tap  -  (M5227-1.02),-0.004310617,0.004310617,0.072777025,0.093017355
Aef1  -  (M4730-1.02),0.004277959,0.004277959,0.0121302195,0.017732613
Bteb2  -  (M4783-1.02),0.0042507444,0.0042507444,0.16582635,0.20141245
dpn  -  (M4922-1.02),-0.0042353743,0.0042353743,0.011583672,0.018818906
Hr78  -  (M5036-1.02),0.0042119813,0.0042119813,0.09221241,0.10359415
eve  -  (M1091-1.02),0.0041630357,0.0041630357,0.01108491,0.019717366
FBgn0262582  -  (M4891-1.02),0.0039902693,0.0039902693,0.07998042,0.09692605
FBpp0292044  -  (M1105-1.02),0.0039685224,0.0039685224,0.045013513,0.07276031
Ets96B  -  (M4952-1.02),0.0039496166,0.0039496166,0.014119064,0.021206683
CG17181  -  (M4831-1.02),-0.003849655,0.003849655,0.026725553,0.03905802
Scr  -  (M5180-1.02),-0.003835836,0.003835836,0.048395645,0.07281412
(Mnf)_(Mus_musculus)_(DBD_0.79)  -  (M0736-1.02),-0.0037797724,0.0037797724,0.013487126,0.020443764
l(3)neo38  -  (M5065-1.02),0.0036975774,0.0036975774,0.01586227,0.020964358
